series_name,review_count,archived_reviews,dongchedi_incremental_reviews,autohome_incremental_reviews,earliest_review,latest_review,pre_test_end_reviews,post_test_end_reviews,review_coverage_status
皓影,100,100,0,0,2020-10-20 14:54:00,2026-07-07 23:24:00,98,2,pre_test_review_available
皓影新能源,10,0,0,10,2022-03-28 00:00:00,2025-10-27 00:00:00,10,0,pre_test_review_available
睿蓝8,1,1,0,0,2025-07-07 15:46:00,2025-07-07 15:46:00,1,0,pre_test_review_available
福瑞迪,10,0,0,10,2018-02-27 00:00:00,2020-12-25 00:00:00,10,0,pre_test_review_available
秦PLUS,25,0,0,25,2025-10-11 00:00:00,2026-08-20 00:00:00,17,8,pre_test_review_available
秦新能源,10,0,0,10,2021-02-24 00:00:00,2026-05-21 00:00:00,10,0,pre_test_review_available
索纳塔,100,100,0,0,2020-08-01 07:58:00,2026-06-24 17:45:00,100,0,pre_test_review_available
红旗E-HS9,100,100,0,0,2021-01-18 21:34:00,2026-07-05 16:07:00,99,1,pre_test_review_available
红旗E-QM5,99,99,0,0,2022-06-09 11:10:00,2026-06-13 16:51:00,99,0,pre_test_review_available
红旗EH7,26,26,0,0,2024-04-23 23:31:00,2026-05-18 00:19:00,26,0,pre_test_review_available
红旗H5,98,98,0,0,2022-10-19 19:59:00,2026-07-10 00:54:00,84,14,pre_test_review_available
红旗H5 PHEV,57,57,0,0,2025-04-15 14:32:00,2026-07-03 18:20:00,56,1,pre_test_review_available
红旗H6,99,99,0,0,2022-12-31 20:48:00,2026-07-10 01:08:00,96,3,pre_test_review_available
红旗H9,100,100,0,0,2020-10-25 13:19:00,2026-06-15 20:03:00,100,0,pre_test_review_available
红旗HQ9,27,27,0,0,2022-09-22 15:11:00,2026-05-21 11:02:00,27,0,pre_test_review_available
红旗HS3,76,76,0,0,2023-07-18 20:46:00,2026-06-03 14:41:00,76,0,pre_test_review_available
红旗HS3 PHEV,84,84,0,0,2024-10-07 22:11:00,2026-07-07 10:32:00,81,3,pre_test_review_available
红旗HS5,100,100,0,0,2020-10-17 01:38:00,2026-07-08 15:23:00,97,3,pre_test_review_available
红旗HS7 PHEV,26,26,0,0,2024-09-08 12:28:00,2026-06-20 01:27:00,26,0,pre_test_review_available
红旗天工05,37,37,0,0,2025-03-11 03:36:00,2026-06-23 09:44:00,37,0,pre_test_review_available
红旗天工06,11,11,0,0,2025-06-07 17:20:00,2026-06-06 19:03:00,11,0,pre_test_review_available
红旗天工08,18,18,0,0,2024-11-18 16:53:00,2026-05-31 17:47:00,18,0,pre_test_review_available
纳米01,23,0,0,23,2025-06-28 00:00:00,2026-08-23 00:00:00,19,4,pre_test_review_available
缤智,100,100,0,0,2020-10-27 16:20:00,2026-05-06 07:55:00,100,0,pre_test_review_available
缤瑞,100,100,0,0,2020-11-12 14:35:00,2026-07-08 11:18:00,99,1,pre_test_review_available
缤越,98,98,0,0,2020-10-27 18:24:00,2026-07-04 09:36:00,96,2,pre_test_review_available
羿驰05,7,7,0,0,2025-03-27 10:51:00,2026-01-05 23:08:00,7,0,pre_test_review_available
胜达,99,99,0,0,2020-12-16 09:01:00,2026-06-09 00:21:00,99,0,pre_test_review_available
艾力绅,100,100,0,0,2020-09-15 17:16:00,2026-06-20 13:11:00,100,0,pre_test_review_available
艾瑞泽5,100,100,0,0,2020-10-16 19:28:00,2026-07-07 13:05:00,98,2,pre_test_review_available
艾瑞泽8,100,100,0,0,2022-07-30 16:08:00,2026-07-09 17:05:00,95,5,pre_test_review_available
英仕派,100,100,0,0,2020-11-14 16:38:00,2026-07-09 06:41:00,98,2,pre_test_review_available
荣威D5X DMH,40,40,0,0,2024-02-23 11:50:00,2026-04-29 19:40:00,40,0,pre_test_review_available
荣威D6,94,94,0,0,2025-05-15 17:23:00,2026-07-08 22:20:00,93,1,pre_test_review_available
荣威D7,10,0,0,10,2025-05-22 00:00:00,2026-06-13 00:00:00,10,0,pre_test_review_available
荣威RX3,10,0,0,10,2021-05-27 00:00:00,2022-03-06 00:00:00,10,0,pre_test_review_available
荣威i5,100,100,0,0,2020-12-10 12:22:00,2026-07-01 15:36:00,99,1,pre_test_review_available
荣威i6 MAX新能源,10,0,0,10,2021-01-22 00:00:00,2025-09-21 00:00:00,10,0,pre_test_review_available
荣威iMAX8,100,100,0,0,2020-10-21 16:26:00,2026-06-13 11:11:00,100,0,pre_test_review_available
荣威iMAX8新能源,10,0,0,10,2025-06-28 00:00:00,2025-08-24 00:00:00,10,0,pre_test_review_available
菱智,46,46,0,0,2019-07-29 00:50:00,2026-06-08 15:23:00,46,0,pre_test_review_available
蒙迪欧,100,100,0,0,2020-10-25 16:00:00,2026-07-07 14:34:00,96,4,pre_test_review_available
蔚来ET5,100,100,0,0,2022-09-29 11:39:00,2025-11-23 22:44:00,100,0,pre_test_review_available
蔚来ET5T,100,100,0,0,2023-08-11 11:42:00,2026-06-03 17:12:00,100,0,pre_test_review_available
蔚来ET7,99,99,0,0,2022-03-02 21:14:00,2025-09-12 15:51:00,99,0,pre_test_review_available
蔚来ET9,13,13,0,0,2024-12-22 15:17:00,2026-04-17 19:47:00,13,0,pre_test_review_available
豪越L,100,100,0,0,2022-11-11 10:59:00,2026-07-07 17:47:00,98,2,pre_test_review_available
赛图斯,26,26,0,0,2023-05-17 13:32:00,2026-06-13 14:13:00,26,0,pre_test_review_available
赛那SIENNA,19,0,0,19,2025-10-11 00:00:00,2026-08-21 00:00:00,9,10,pre_test_review_available
起亚EV5,38,38,0,0,2023-11-23 09:17:00,2026-02-13 08:21:00,38,0,pre_test_review_available
起亚K3,100,100,0,0,2020-12-14 23:00:00,2026-06-24 14:51:00,100,0,pre_test_review_available
起亚KX3傲跑,10,0,0,10,2021-07-03 00:00:00,2022-04-19 00:00:00,10,0,pre_test_review_available
轩逸,99,99,0,0,2020-10-16 19:15:00,2026-06-21 10:58:00,99,0,pre_test_review_available
迈腾,196,196,0,0,2020-10-23 14:57:00,2026-07-08 11:21:00,194,2,pre_test_review_available
迈腾PHEV,165,165,0,0,2020-07-04 12:42:00,2026-05-19 06:56:00,165,0,pre_test_review_available
迈锐宝XL,10,0,0,10,2024-04-27 00:00:00,2025-12-02 00:00:00,10,0,pre_test_review_available
逍客,97,97,0,0,2020-10-16 18:31:00,2026-07-06 11:04:00,96,1,pre_test_review_available
途安,10,0,0,10,2023-01-16 00:00:00,2026-01-12 00:00:00,10,0,pre_test_review_available
途岳,198,198,0,0,2020-11-24 17:46:00,2026-06-29 12:09:00,198,0,pre_test_review_available
途昂,199,199,0,0,2020-10-25 11:39:00,2026-07-08 11:03:00,196,3,pre_test_review_available
途观L,196,196,0,0,2020-11-16 17:11:00,2026-07-04 22:32:00,194,2,pre_test_review_available
速腾,200,200,0,0,2020-10-23 12:17:00,2026-07-08 09:10:00,198,2,pre_test_review_available
逸动,99,99,0,0,2020-12-13 18:09:00,2026-07-08 19:04:00,96,3,pre_test_review_available
钇为3,59,59,0,0,2023-06-26 14:29:00,2026-07-04 09:16:00,58,1,pre_test_review_available
铂智3X,91,91,0,0,2025-04-29 22:33:00,2026-07-08 09:59:00,88,3,pre_test_review_available
铂智4X,6,6,0,0,2024-06-18 12:41:00,2025-04-13 01:08:00,6,0,pre_test_review_available
铂智7,25,25,0,0,2026-04-13 13:56:00,2026-07-08 21:45:00,23,2,pre_test_review_available
银河E8,98,98,0,0,2024-03-19 13:37:00,2026-05-30 15:12:00,98,0,pre_test_review_available
银河V900,5,5,0,0,2026-02-11 11:48:00,2026-07-03 17:18:00,4,1,pre_test_review_available
银河星耀6,67,67,0,0,2025-10-16 11:34:00,2026-07-09 21:30:00,64,3,pre_test_review_available
银河星耀7,47,47,0,0,2026-05-30 23:35:00,2026-07-10 18:32:00,37,10,pre_test_review_available
锋兰达,98,98,0,0,2022-04-13 19:03:00,2026-07-09 13:46:00,94,4,pre_test_review_available
锐程PLUS,100,100,0,0,2022-10-09 13:16:00,2025-07-16 21:55:00,100,0,pre_test_review_available
锐际,99,99,0,0,2020-11-02 14:28:00,2026-06-23 12:48:00,99,0,pre_test_review_available
长安CS75 PLUS,100,100,0,0,2020-10-09 15:52:00,2026-07-09 17:14:00,94,6,pre_test_review_available
长安Lumin,100,100,0,0,2022-07-29 23:19:00,2026-07-04 22:45:00,99,1,pre_test_review_available
长安UNI-K,97,97,0,0,2021-03-27 10:54:00,2026-05-10 15:33:00,97,0,pre_test_review_available
长安UNI-K 智电iDD,100,100,0,0,2022-01-14 13:08:00,2024-08-05 21:13:00,100,0,pre_test_review_available
长安UNI-T,100,100,0,0,2020-11-05 14:08:00,2026-06-22 16:43:00,100,0,pre_test_review_available
长安UNI-V,100,100,0,0,2022-01-06 21:06:00,2026-07-09 13:59:00,97,3,pre_test_review_available
长安X5 PLUS,97,97,0,0,2024-02-07 14:03:00,2026-07-09 23:45:00,93,4,pre_test_review_available
长安启源A07,97,97,0,0,2023-11-03 08:46:00,2026-06-29 16:59:00,97,0,pre_test_review_available
雅阁,100,100,0,0,2020-10-23 11:04:00,2025-11-03 17:44:00,100,0,pre_test_review_available
零跑B01,97,97,0,0,2025-08-01 17:00:00,2026-07-09 09:26:00,93,4,pre_test_review_available
零跑Lafa5,97,97,0,0,2025-11-15 12:44:00,2026-07-08 10:59:00,96,1,pre_test_review_available
零跑T03,99,99,0,0,2021-01-27 17:09:00,2026-05-08 00:02:00,99,0,pre_test_review_available
雷凌,100,100,0,0,2020-06-17 14:40:00,2022-11-16 22:49:00,100,0,pre_test_review_available
领克03,100,100,0,0,2020-10-17 17:46:00,2025-10-22 14:16:00,100,0,pre_test_review_available
领克10,93,93,0,0,2026-06-06 12:21:00,2026-07-10 11:08:00,72,21,pre_test_review_available
风云A9L,95,95,0,0,2025-06-29 11:16:00,2026-07-10 11:01:00,78,17,pre_test_review_available
飞凡F7,99,99,0,0,2023-04-01 14:31:00,2024-08-02 13:49:00,99,0,pre_test_review_available
马自达3 昂克赛拉,100,100,0,0,2021-01-07 23:05:00,2026-04-08 09:39:00,100,0,pre_test_review_available
马自达EZ-6,99,99,0,0,2024-10-30 15:48:00,2026-07-02 12:23:00,98,1,pre_test_review_available
驱逐舰05,100,100,0,0,2022-03-26 14:52:00,2026-02-02 16:06:00,100,0,pre_test_review_available
高尔夫,199,199,0,0,2020-10-12 13:13:00,2026-06-30 21:01:00,199,0,pre_test_review_available
高尔夫GTI,59,59,0,0,2024-09-03 20:26:00,2026-06-27 20:34:00,59,0,pre_test_review_available
小鹏MONA M03,10,0,0,10,2026-08-03 00:00:00,2026-08-15 00:00:00,0,10,review_available
岚图梦想家,10,0,0,10,2026-08-18 00:00:00,2026-08-23 00:00:00,0,10,review_available
秦L,10,0,0,10,2026-08-03 00:00:00,2026-08-13 00:00:00,0,10,review_available
腾势D9,10,0,0,10,2026-08-04 00:00:00,2026-08-23 00:00:00,0,10,review_available
